"","strato","N","total","total_var","total_cv","total_se","total_deff","nd","DEPARTAMENTO","CLASE","SEXO","TOTAL_PET","DPNOM","TOTAL","PORC_PET","Exclusion_n","Exclusion_DEFF","Exclusion","Flag","varianza","ln_sigma2","var_est","eblup_var_su","eblup_var_or","cv_eblup_var_su","cv_eblup_var_or","diff"
"83","Tolima_R_M",199822,25919,21583780.0694026,0.179244365177732,4645.83470104163,1.15063489372537,241,73,"Rural","Mujer",168909,"Tolima",202561,83.3867328854024,0,0,0,"Incluir",21583780.0694026,16.8874526678579,12024544.8576359,26044.1889953678,26164.7781173571,13.2947235216354,17.7032737199843,4.55699920162579
"84","Choco_U_M",146841,22530,6874288.53139376,0.116373122289181,2621.88644517526,3.43432901983319,1387,27,"Urbano","Mujer",105956,"Choco",135141,78.4040372647827,0,0,0,"Incluir",6874288.53139376,15.7432987098191,3267575.9435985,22542.904228673,22558.4320852851,8.01545123118519,11.6116212525733,3.62585935003436
"85","Quindio_R_H",31216,19931,4160170.61018983,0.102335539073408,2039.6496292721,2.95603347167317,160,63,"Rural","Hombre",31484,"Quindio",36171,87.0421055541732,0,0,0,"Incluir",4160170.61018983,15.2410666434613,3836296.67015848,19907.2604620319,19900.722235617,9.83421424717294,10.2432523016707,0.665466704189388
"86","Arauca_U_H",42232,19239,4726328.4396008,0.113000263038219,2174.0120605923,2.02845720387615,190,81,"Urbano","Hombre",75324,"Arauca",96160,78.3319467554077,0,0,0,"Incluir",4726328.4396008,15.3686592306326,6177835.65316962,19242.3667856095,19240.4340491231,12.9071162717534,11.291819269591,-1.41936522087013
"87","Sucre_R_M",160987,16422,13940380.6631056,0.227358538410247,3733.68191777307,1.27594999764887,218,70,"Rural","Mujer",147321,"Sucre",179888,81.8959574846571,0,0,0,"Incluir",13940380.6631056,16.4503002701767,6825632.64506246,16493.0980227478,16580.813789429,15.8271777285811,22.4747978764731,6.85756449562352
"88","Meta_R_M",113019,16379,10789307.5192292,0.200543875269275,3284.70813303545,1.34516949199781,198,50,"Rural","Mujer",96981,"Meta",121112,80.0754673360196,0,0,0,"Incluir",10789307.5192292,16.1940661571608,5687965.12338248,16401.8233524841,16424.3018428545,14.5305440570541,19.9693334964097,5.64715927923827
"89","Caldas_R_M",117613,16325,12184395.3661954,0.213820234470548,3490.61532773169,1.72773558015807,235,17,"Rural","Mujer",96563,"Caldas",115622,83.5161128504956,0,0,0,"Incluir",12184395.3661954,16.3156666226527,5110701.5501241,16342.5176090779,16368.1203900558,13.8244466685099,21.289895514879,7.65927005398618
"90","Risaralda_R_M",94915,14611,9198313.43531888,0.207574576888857,3032.87214292309,1.42955417712896,183,66,"Rural","Mujer",76433,"Risaralda",92520,82.6124081279723,0,0,0,"Incluir",9198313.43531888,16.0345307029657,4461594.63425861,14617.0238885377,14622.0681993662,14.4426675480613,20.7154589356137,6.49898033920451
"91","Arauca_U_M",44147,12786,2818997.4816822,0.13131448774876,1678.98704035564,1.53313253005521,218,81,"Urbano","Mujer",81817,"Arauca",101999,80.2135315052108,0,0,0,"Incluir",2818997.4816822,14.8518918767586,3706191.77627132,12796.6008815612,12794.1874506143,15.037338803331,13.1179411476499,-1.69111479509676
"92","Caqueta_R_M",71937,11849,4414468.79124535,0.177319919698408,2101.06372850643,1.27470092367001,206,18,"Rural","Mujer",50467,"Caqueta",66594,75.7831035829054,0,0,0,"Incluir",4414468.79124535,15.3003980656976,2807381.61502303,11846.8541471777,11843.7957348471,14.1383123109949,17.7289911981375,3.82723590024776
