,DP,DPNOM,strato,eblup.FH,sexo,clase
118,94,Guainia,Guainia_U_M,5096.91884828567,mujer,urbano
119,94,Guainia,Guainia_U_H,5067.9978807487,hombre,urbano
120,95,Guaviare,Guaviare_U_H,9843.23900911679,hombre,urbano
121,95,Guaviare,Guaviare_U_M,8936.57235039956,mujer,urbano
122,95,Guaviare,Guaviare_R_H,9457.95974479741,hombre,rural
123,95,Guaviare,Guaviare_R_M,7265.991413558149,mujer,rural
124,97,Vaupes,Vaupes_U_M,1386.00319764462,mujer,urbano
125,97,Vaupes,Vaupes_U_H,2635.0004820700697,hombre,urbano
126,97,Vaupes,Vaupes_R_H,6882.386913588671,hombre,rural
127,97,Vaupes,Vaupes_R_M,6236.88698536776,mujer,rural
128,99,Vichada,Vichada_R_H,19394.722174373503,hombre,rural
129,99,Vichada,Vichada_R_M,17255.3739368473,mujer,rural
130,99,Vichada,Vichada_U_H,6027.61165082944,hombre,urbano
131,99,Vichada,Vichada_U_M,5902.28745816925,mujer,urbano
